BRANCH,YEAR,MONTH,CIRCULATION,COMPUTER_SESSIONS,VISITORS
Albany Park,2011,1,8427.0,1666.0,9604.0
Albany Park,2011,2,7023.0,1296.0,10500.0
Albany Park,2011,3,9702.0,1735.0,9050.0
Albany Park,2011,4,9344.0,1841.0,9300.0
Albany Park,2011,5,8865.0,1683.0,8271.0
Albany Park,2011,6,11650.0,2138.0,10984.0
Albany Park,2011,7,11778.0,2267.0,9986.0
Albany Park,2011,8,11306.0,2434.0,11078.0
Albany Park,2011,9,10466.0,1746.0,9453.0
Albany Park,2011,10,10997.0,1837.0,10213.0
Albany Park,2011,11,10567.0,1729.0,9377.0
Albany Park,2011,12,9934.0,1594.0,9609.0
Albany Park,2012,1,10173.0,1531.0,7946.0
Albany Park,2012,2,9737.0,1638.0,8268.0
Albany Park,2012,3,11220.0,1746.0,10024.0
Albany Park,2012,4,10173.0,1738.0,9166.0
Albany Park,2012,5,9045.0,1673.0,9185.0
Albany Park,2012,6,10014.0,1812.0,9515.0
Albany Park,2012,7,11196.0,2162.0,10298.0
Albany Park,2012,8,8373.0,2122.0,9742.0
Albany Park,2012,9,3261.0,1001.0,4341.0
Albany Park,2012,10,74.0,0.0,0.0
Albany Park,2012,11,15.0,0.0,0.0
Albany Park,2012,12,16.0,0.0,0.0
Albany Park,2013,1,0.0,0.0,0.0
Albany Park,2013,2,0.0,0.0,0.0
Albany Park,2013,3,0.0,0.0,0.0
Albany Park,2013,4,0.0,0.0,0.0
Albany Park,2013,5,0.0,0.0,0.0
Albany Park,2013,6,0.0,0.0,0.0
Albany Park,2013,7,0.0,0.0,0.0
Albany Park,2013,8,74.0,0.0,74.0
Albany Park,2013,9,119.0,0.0,105.0
Albany Park,2013,10,126.0,0.0,117.0
Albany Park,2013,11,159.0,0.0,89.0
Albany Park,2013,12,94.0,0.0,36.0
Albany Park,2014,1,35.0,0.0,0.0
Albany Park,2014,2,0.0,0.0,0.0
Albany Park,2014,3,7.0,0.0,11.0
Albany Park,2014,4,40.0,0.0,13.0
Albany Park,2014,5,3.0,0.0,10.0
Albany Park,2014,6,0.0,0.0,24.0
Albany Park,2014,7,0.0,0.0,0.0
Albany Park,2014,8,139.0,0.0,0.0
Albany Park,2014,9,11407.0,1612.0,12446.0
Albany Park,2014,10,15251.0,2838.0,16239.0
Albany Park,2014,11,12544.0,2653.0,12440.0
Albany Park,2014,12,11058.0,2443.0,11933.0
Albany Park,2015,1,10889.0,2634.0,8234.0
Albany Park,2015,2,8875.0,2208.0,8979.0
Albany Park,2015,3,11000.0,3103.0,13017.0
Albany Park,2015,4,11463.0,3101.0,12912.0
Albany Park,2015,5,9640.0,2884.0,11979.0
Albany Park,2015,6,11323.0,3144.0,14061.0
Albany Park,2015,7,12627.0,3369.0,14768.0
Albany Park,2015,8,12170.0,3327.0,13078.0
Albany Park,2015,9,10949.0,3207.0,14156.0
Albany Park,2015,10,11889.0,3532.0,16093.0
Albany Park,2015,11,11485.0,3350.0,13567.0
Albany Park,2015,12,11056.0,3255.0,12907.0
Albany Park,2016,1,10905.0,3275.0,11735.0
Albany Park,2016,2,10989.0,3117.0,10593.0
Albany Park,2016,3,12333.0,3485.0,12368.0
Albany Park,2016,4,11987.0,3522.0,12556.0
Albany Park,2016,5,9796.0,2779.0,10915.0
Albany Park,2016,6,11707.0,3076.0,15341.0
Albany Park,2016,7,11878.0,2778.0,14151.0
Albany Park,2016,8,12190.0,3174.0,13907.0
Albany Park,2016,9,10830.0,2983.0,14119.0
