BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,934,789,1141,1145,1199,1160,2,1545,1360,1451,1406,1330,13462,POINT (-87.61416 41.751132)
West Lawn,4020 W. 63rd St.,Chicago,60629,419,337,462,509,453,202,286,0,0,0,0,0,2668,POINT (-87.723756 41.778629)
West Town,1625 W. Chicago Ave.,Chicago,60622,398,289,506,529,502,550,1344,590,671,642,648,607,7276,POINT (-87.668233 41.89606)
West Pullman,830 W. 119th St.,Chicago,60643,755,594,841,761,738,816,496,971,943,913,897,795,9520,POINT (-87.643327 41.677819)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,365,0,358,425,477,436,438,434,462,501,529,517,4942,POINT (-87.702091 41.738331)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,504,431,606,535,527,557,629,661,587,722,680,596,7035,POINT (-87.705179 41.849599)
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,308,334,468,513,537,620,617,686,640,606,502,560,6391,POINT (-87.670433 41.940599)
Gage Park,2807 W. 55th St.,Chicago,60632,0,0,0,0,0,0,0,4,139,132,129,186,590,POINT (-87.694138 41.793722)
Northtown,6800 N. Western Ave.,Chicago,60645,1024,814,1195,1136,1258,1353,1433,1430,1348,1368,1207,1227,14793,POINT (-87.690175 42.00536)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,429,406,582,499,483,538,758,896,854,793,691,516,7445,POINT (-87.813908 41.94331)
Bezazian,1226 W. Ainslie St.,Chicago,60640,14,131,628,658,737,778,940,1047,1047,1002,1071,1089,9142,POINT (-87.660739 41.971414)
West Loop,122 N. Aberdeen St.,Chicago,60607,123,116,190,215,208,197,874,322,233,205,239,257,3179,POINT (-87.654421 41.883595)
Pullman,11001 S. Indiana Ave.,Chicago,60628,311,370,472,495,517,555,570,556,602,662,714,618,6442,POINT (-87.618295 41.694366)
Jeffery Manor,2401 E. 100th St.,Chicago,60617,336,261,406,420,89,99,411,537,419,427,462,416,4283,POINT (-87.565489 41.713513)
Hall,4801 S. Michigan Ave.,Chicago,60615,0,105,389,493,492,512,564,607,675,673,596,456,5562,POINT (-87.622776 41.807273)
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,372,292,417,357,369,334,344,498,415,231,430,353,4412,POINT (-87.700878 41.692925)
Coleman,731 E. 63rd St.,Chicago,60637,770,686,947,936,949,948,933,1022,983,1115,1080,1002,11371,POINT (-87.606849 41.780405)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,325,318,453,379,447,516,512,541,477,515,424,516,5423,POINT (-87.779388 41.953025)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,1886,1771,2436,2329,2277,2249,2313,2794,2663,2644,2679,2525,28566,POINT (-87.643122 41.720675)
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,689,647,908,840,867,884,852,1122,1112,1048,1031,989,10989,POINT (-87.65393 41.757373)
Chicago Bee,3647 S. State St.,Chicago,60609,331,306,373,386,421,362,356,443,484,505,450,481,4898,POINT (-87.626436 41.828152)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,423,370,559,515,506,530,564,674,590,692,581,659,6663,POINT (-87.533513 41.70272)
Walker,11071 S. Hoyne Ave.,Chicago,60643,170,116,228,208,209,222,223,236,287,308,317,292,2816,POINT (-87.67426 41.692473)
Albany Park,3401 W. Foster Ave.,Chicago,60625,479,436,637,596,567,655,813,1043,950,885,922,855,8838,POINT (-87.713595 41.975693)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,885,786,630,986,1035,1072,1187,1250,1261,1328,1303,1159,12882,POINT (-87.585869 41.746322)
Brainerd,1350 W. 89th St.,Chicago,60620,310,291,397,32,105,289,292,375,353,359,305,334,3442,POINT (-87.657726 41.732282)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,452,398,510,477,497,480,468,487,416,510,664,553,5912,POINT (-87.813329 41.978015)
Little Italy,1336 W. Taylor St.,Chicago,60607,362,248,435,372,455,473,560,615,714,658,639,581,6112,POINT (-87.660263 41.869359)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,242,166,282,308,292,313,270,321,262,258,261,293,3268,POINT (-87.76204 41.997245)
Kelly,6151 S. Normal Blvd.,Chicago,60621,399,273,470,408,418,451,538,574,564,544,583,562,5784,POINT (-87.637516 41.78199)
Edgewater,6000 N. Broadway St.,Chicago,60660,1106,1003,1267,1277,1384,1493,1644,1683,1614,1602,1712,1544,17329,POINT (-87.660306 41.990923)
Near North,310 W. Division St.,Chicago,60610,340,302,435,462,538,632,770,807,851,876,827,837,7677,POINT (-87.636643 41.903838)
Canaryville,642 W. 43rd St.,Chicago,60609,0,0,0,0,0,0,27,186,274,241,266,260,1254,POINT (-87.642569 41.81627)
"Daley, Richard J. -Bridgeport",3400 S. Halsted St.,Chicago,60608,535,471,535,539,579,547,600,141,0,0,0,0,3947,POINT (-87.646149 41.8327)
Manning,6 S. Hoyne Ave.,Chicago,60612,0,0,0,0,0,0,1,2,90,334,356,462,1245,POINT (-87.679091 41.881026)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,641,590,841,835,709,746,824,859,897,876,933,807,9558,POINT (-87.754876 41.938748)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,467,372,532,481,509,503,285,0,367,550,565,503,5134,POINT (-87.600377 41.762277)
Scottsdale,4101 W. 79th St.,Chicago,60652,318,336,423,393,451,439,508,541,467,549,554,516,5495,POINT (-87.724291 41.749388)
Altgeld,955 E. 131st St.,Chicago,60827,151,114,250,305,400,680,747,970,818,681,862,741,6719,POINT (-87.5989 41.657262)
Back of the Yards,2111 W. 47th St.,Chicago,60609,287,301,399,339,395,413,456,465,470,527,447,458,4957,POINT (-87.677601 41.808523)
Rogers Park,6907 N. Clark St.,Chicago,60626,459,498,794,725,747,876,1292,1389,1316,1388,1367,1376,12227,POINT (-87.67344 42.006673)
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,377,293,479,472,437,405,437,434,427,439,493,513,5206,POINT (-87.780075 41.79286)
King,3436 S. King Dr.,Chicago,60616,715,575,785,771,733,760,830,841,912,837,853,816,9428,POINT (-87.617335 41.832238)
Water Works,163 E. Pearson Street,Chicago,60611,0,0,0,0,0,0,0,63,84,71,86,65,369,POINT (-87.623234 41.897609)
"Daley, Richard M. -W. Humboldt",733 N. Kedzie Ave.,Chicago,60612,727,731,917,784,887,911,965,1039,987,999,855,949,10751,POINT (-87.706545 41.894322)
Humboldt Park,1605 N. Troy St.,Chicago,60647,459,379,487,553,556,626,753,840,658,590,703,629,7233,POINT (-87.705655 41.910536)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,1468,1276,1797,1759,1980,2068,1900,2297,2062,1974,2254,2103,22938,POINT (-87.684637 41.962677)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,554,461,624,651,722,715,934,966,893,854,828,761,8963,POINT (-87.590212 41.807619)
North Austin,5724 W. North Ave.,Chicago,60639,457,310,508,464,444,436,475,566,531,524,513,464,5692,POINT (-87.768877 41.909401)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,565,461,738,681,652,611,683,766,687,790,762,756,8152,POINT (-87.696439 41.983843)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,454,396,554,495,593,529,626,644,630,639,782,673,7015,POINT (-87.658126 41.925316)
West Englewood,1745 W. 63rd St.,Chicago,60636,391,345,515,434,467,492,520,612,624,581,625,392,5998,POINT (-87.66821 41.779364)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,500,402,626,546,533,563,693,695,697,688,668,612,7223,POINT (-87.726723 41.801206)
Hegewisch,3048 E. 130th St.,Chicago,60633,270,211,306,274,252,270,289,253,288,281,329,300,3323,POINT (-87.548914 41.659153)
Independence,4024 N. Elston Ave.,Chicago,60618,430,390,561,493,573,590,599,660,731,716,700,616,7059,POINT (-87.719889 41.954219)
Lozano,1805 S. Loomis St.,Chicago,60608,622,638,849,833,767,721,817,858,847,917,1061,1007,9937,POINT (-87.661298 41.857604)
South Shore,2505 E. 73rd St.,Chicago,60649,683,579,849,914,928,967,967,1202,1137,1141,1240,1006,11613,POINT (-87.563672 41.762654)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,578,577,746,775,853,918,1107,1275,1260,1175,1184,1023,11471,POINT (-87.631794 41.854267)
Douglass,3353 W. 13th St.,Chicago,60623,417,343,547,497,456,585,601,685,693,781,829,776,7210,POINT (-87.709767 41.864527)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,780,685,977,965,860,916,1016,994,1041,1071,1066,1112,11483,POINT (-87.703483 41.924806)
Roden,6083 N. Northwest Hwy.,Chicago,60631,236,207,274,285,236,310,346,392,355,335,317,358,3651,POINT (-87.798265 41.991862)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-87.798468 41.921134)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,345,294,396,385,375,405,418,543,528,526,589,423,5227,POINT (-87.785858 41.936833)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,394,344,475,455,499,496,602,673,555,582,576,568,6219,POINT (-87.680298 41.912224)
North Pulaski,4300 W. North Ave.,Chicago,60639,297,248,435,342,338,383,387,446,438,451,425,406,4596,POINT (-87.733923 41.909856)
McKinley Park,1915 W. 35th St.,Chicago,60609,18,206,342,343,335,380,374,491,570,521,477,463,4520,POINT (-87.673442 41.830421)
Beverly,1962 W. 95th St.,Chicago,60643,408,317,425,435,493,435,576,656,579,670,764,745,6503,POINT (-87.672288 41.721148)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,318,330,526,437,586,578,703,772,971,949,929,752,7851,POINT (-87.725593 41.879302)
Toman,2708 S. Pulaski Rd.,Chicago,60623,670,566,754,775,710,732,768,802,731,676,655,704,8543,POINT (-87.724477 41.842073)
Austin,5615 W. Race Ave.,Chicago,60644,645,532,733,684,663,745,783,841,770,779,772,607,8554,POINT (-87.766942 41.889281)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,501,444,625,655,647,664,686,816,720,752,854,815,8179,POINT (-87.761964 41.967648)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,205,181,333,306,303,277,331,419,330,346,417,331,3779,POINT (-87.738155 41.968148)
South Chicago,9055 S. Houston Ave.,Chicago,60617,170,375,611,558,648,679,818,904,985,720,945,798,8211,POINT (-87.549849 41.730371)
Clearing,6423 W. 63rd Pl.,Chicago,60638,288,263,334,337,360,372,412,503,388,457,449,412,4575,POINT (-87.782282 41.7768)
Merlo,644 W. Belmont Ave.,Chicago,60657,512,455,574,673,685,778,863,855,853,888,875,855,8866,POINT (-87.646055 41.940054)
Uptown,929 W. Buena Ave.,Chicago,60613,581,479,604,578,668,866,912,1054,1164,1230,1286,1214,10636,POINT (-87.654217 41.95846)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,518,478,756,701,672,755,873,1087,846,846,817,779,9128,POINT (-87.703231 41.781967)
Harold Washington Library Center,400 S. State Street,Chicago,60605,4392,4036,5292,5124,5405,5684,5811,6276,5992,5929,7388,7983,69312,POINT (-87.627695 41.876301)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,354,288,455,413,327,382,429,476,65,0,353,468,4010,POINT (-87.703067 41.814848)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,417,330,460,422,450,465,475,538,617,664,613,568,6019,POINT (-87.747411 41.895019)
Sherman Park,5440 S. Racine Ave.,Chicago,60609,234,212,299,316,313,298,328,401,382,391,357,388,3919,POINT (-87.65487 41.794843)
