BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION
Walker,11071 S. Hoyne Ave.,Chicago,60643,290,309,360,428,460,416,482,562,528,438,375,373,5021,POINT (-87.67413 41.69221)
Albany Park,3401 W. Foster Ave.,Chicago,60625,880,984,1077,1087,1010,1091,1214,1169,1142,1208,1164,1063,13089,POINT (-87.71357 41.9757)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1171,997,1370,1508,1350,1386,1432,1517,1392,1420,1215,1179,15937,POINT (-87.58584 41.74633)
Brainerd,1350 W. 89th St.,Chicago,60620,292,270,493,459,456,564,575,585,519,476,481,482,5652,POINT (-87.65774 41.73232)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,612,594,764,699,765,590,564,691,618,634,564,512,7607,POINT (-87.81334 41.97801)
Little Italy,1336 W. Taylor St.,Chicago,60607,613,554,786,769,798,897,831,912,997,927,830,660,9574,POINT (-87.66059 41.86937)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,335,323,408,425,393,439,437,502,454,417,362,403,4898,POINT (-87.76197 41.99727)
Kelly,6151 S. Normal Blvd.,Chicago,60621,491,469,607,656,639,669,578,625,570,661,582,417,6964,POINT (-87.63753 41.782)
Edgewater,6000 N. Broadway St.,Chicago,60660,1594,1633,2203,2279,2123,2198,2107,2212,1904,2019,1736,1694,23702,POINT (-87.66032 41.9912)
Near North,310 W. Division St.,Chicago,60610,975,902,684,0,0,438,89,746,1094,1323,1202,1054,8507,POINT (-87.63663 41.90379)
Canaryville,642 W. 43rd St.,Chicago,60609,227,205,283,284,1,0,101,193,251,231,196,197,2169,POINT (-87.64257 41.81624)
"Daley, Richard J. -Bridgeport",3400 S. Halsted St.,Chicago,60608,0,0,0,0,0,867,774,804,799,849,705,613,5411,POINT (-87.64615 41.83257)
Manning,6 S. Hoyne Ave.,Chicago,60612,521,455,694,800,772,733,749,865,856,955,761,622,8783,POINT (-87.67908 41.88102)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,777,741,918,963,921,869,894,969,851,858,807,777,10345,POINT (-87.7547 41.93873)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1284,1249,1569,1541,1600,1504,1614,1971,1548,1737,1465,1373,18455,POINT (-87.61425 41.75111)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,470,564,802,773,829,703,705,822,866,925,767,777,9003,POINT (-87.60041 41.76229)
Scottsdale,4101 W. 79th St.,Chicago,60652,451,450,582,588,553,566,651,640,679,653,522,517,6852,POINT (-87.7246 41.7494)
Altgeld,955 E. 131st St.,Chicago,60827,530,497,863,901,674,1086,1373,1238,1031,1276,1005,808,11282,POINT (-87.59861 41.65728)
West Lawn,4020 W. 63rd St.,Chicago,60629,136,248,393,492,486,520,575,604,575,590,534,436,5589,POINT (-87.72384 41.77866)
Back of the Yards,2111 W. 47th St.,Chicago,60609,408,369,476,496,504,478,502,591,473,489,434,337,5557,POINT (-87.67763 41.80849)
Rogers Park,6907 N. Clark St.,Chicago,60626,1160,1104,1537,1555,1488,1437,1506,1494,1619,1679,1473,1560,17612,POINT (-87.67341 42.00669)
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,473,448,594,544,549,495,585,631,609,363,489,476,6256,POINT (-87.78009 41.79282)
King,3436 S. King Dr.,Chicago,60616,900,819,1238,1204,1098,1005,1191,1298,1142,1070,895,798,12658,POINT (-87.61732 41.83214)
Water Works,163 E. Pearson Street,Chicago,60611,58,59,105,137,146,198,275,210,223,191,157,163,1922,POINT (-87.62308 41.89759)
"Daley, Richard M. -W. Humboldt",733 N. Kedzie Ave.,Chicago,60612,921,775,1152,964,960,917,972,1120,1148,1085,714,730,11458,POINT (-87.70654 41.8949)
Humboldt Park,1605 N. Troy St.,Chicago,60647,615,533,784,856,870,848,913,1045,894,939,732,750,9779,POINT (-87.70568 41.91042)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,2032,2039,2742,2855,2872,2886,2979,3203,3164,3064,3044,2598,33478,POINT (-87.68467 41.96267)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,830,753,1124,1232,1161,985,989,1130,1014,959,852,744,11773,POINT (-87.5902 41.80763)
North Austin,5724 W. North Ave.,Chicago,60639,525,498,688,752,592,585,595,630,620,670,647,578,7380,POINT (-87.76886 41.90933)
West Town,1625 W. Chicago Ave.,Chicago,60622,558,534,688,825,820,962,938,1234,914,830,970,930,10203,POINT (-87.66849 41.8956)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,731,689,863,855,794,813,826,1011,846,869,864,876,10037,POINT (-87.69782 41.98473)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,748,757,929,1052,943,831,911,818,908,1001,883,834,10615,POINT (-87.65805 41.92529)
West Englewood,1745 W. 63rd St.,Chicago,60636,531,474,669,556,597,549,687,897,780,731,762,690,7923,POINT (-87.66852 41.77939)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,742,586,832,756,697,765,654,824,861,720,669,676,8782,POINT (-87.72663 41.8007)
Hegewisch,3048 E. 130th St.,Chicago,60633,330,240,405,410,351,340,302,132,67,310,291,252,3430,POINT (-87.54893 41.65918)
Independence,4024 N. Elston Ave.,Chicago,60618,636,568,719,716,707,722,690,729,780,773,713,677,8430,POINT (-87.72009 41.95432)
Lozano,1805 S. Loomis St.,Chicago,60608,912,895,1116,1214,1192,888,1172,1215,1100,1334,1191,1109,13338,POINT (-87.66129 41.85762)
South Shore,2505 E. 73rd St.,Chicago,60649,1067,968,1236,1234,1235,1228,1169,1326,1288,1244,987,994,13976,POINT (-87.56397 41.76264)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,1101,1025,1315,1451,1623,1344,1444,1571,1594,1430,1392,1339,16629,POINT (-87.63181 41.85419)
Douglass,3353 W. 13th St.,Chicago,60623,767,695,902,913,949,0,611,914,978,1020,757,619,9125,POINT (-87.70967 41.86454)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,1260,1034,1404,1478,1164,1245,1279,1419,1242,1350,1243,1161,15279,POINT (-87.70341 41.92476)
Roden,6083 N. Northwest Hwy.,Chicago,60631,332,361,507,475,401,418,436,436,461,438,375,380,5020,POINT (-87.79832 41.99194)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-87.79733 41.92115)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,492,453,618,583,599,664,739,839,606,633,649,585,7460,POINT (-87.78589 41.93685)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,652,627,774,816,755,770,826,854,890,896,710,685,9255,POINT (-87.68036 41.91225)
North Pulaski,4300 W. North Ave.,Chicago,60639,463,455,534,591,486,506,583,597,554,609,520,477,6375,POINT (-87.73404 41.91003)
McKinley Park,1915 W. 35th St.,Chicago,60609,455,428,613,526,614,562,596,630,578,615,568,475,6660,POINT (-87.67344 41.83041)
