BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Walker,11071 S. Hoyne Ave.,Chicago,60643,1090,1914,2029,1754,,,,,,,,,6787,POINT (-87.67380297499994 41.692205985000044)
Albany Park,3401 W. Foster Ave.,Chicago,60625,6565,7308,6554,7159,,,,,,,,,27586,POINT (-87.71406100499996 41.975447006000024)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,3345,3417,4169,3917,,,,,,,,,14848,POINT (-87.58626296499995 41.74633099300007)
Brainerd,1350 W. 89th St.,Chicago,60620,762,1023,1033,1397,,,,,,,,,4215,POINT (-87.65773997999997 41.73252901600006)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,4896,4824,5486,5025,,,,,,,,,20231,POINT (-87.81385401599994 41.97838398300007)
Little Italy,1336 W. Taylor St.,Chicago,60607,7679,7318,8778,8378,,,,,,,,,32153,POINT (-87.66052296199996 41.86942820300004)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,5774,5827,6259,5770,,,,,,,,,23630,POINT (-87.76208696299994 41.997127008000064)
Kelly,6151 S. Normal Blvd.,Chicago,60621,2361,2276,2598,3035,,,,,,,,,10270,POINT (-87.63724899299996 41.78199800300007)
Edgewater,6000 N. Broadway St.,Chicago,60660,8408,8676,9075,10534,,,,,,,,,36693,POINT (-87.66070097099998 41.991152010000064)
Near North,310 W. Division St.,Chicago,60610,6661,11052,11254,10335,,,,,,,,,39302,POINT (-87.63657902699998 41.90413901200003)
Canaryville,642 W. 43rd St.,Chicago,60609,1228,1290,1720,1420,,,,,,,,,5658,POINT (-87.64259698199999 41.81648899000004)
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,1754,2150,3544,5498,,,,,,,,,12946,POINT (-87.64646497899997 41.83263798300004)
Manning,6 S. Hoyne Ave.,Chicago,60612,3272,3333,3536,3999,,,,,,,,,14140,POINT (-87.67958900299999 41.88105701100005)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,4569,7520,9359,8386,,,,,,,,,29834,POINT (-87.75493602599994 41.93894499100003)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1976,3628,4051,4577,,,,,,,,,14232,POINT (-87.61424603299997 41.75093500500003)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,2850,2852,3992,3740,,,,,,,,,13434,POINT (-87.60042402299996 41.762564015000066)
Scottsdale,4101 W. 79th St.,Chicago,60652,2976,3537,3839,3764,,,,,,,,,14116,POINT (-87.72458196999997 41.74917501500005)
Altgeld,955 E. 131st St.,Chicago,60827,3342,3529,4242,4346,,,,,,,,,15459,POINT (-87.59858989999998 41.65721704300006)
West Lawn,4020 W. 63rd St.,Chicago,60629,2769,3212,3589,3999,,,,,,,,,13569,POINT (-87.72380899099994 41.77890801400008)
Back of the Yards,2111 W. 47th St.,Chicago,60609,2440,2529,3529,3525,,,,,,,,,12023,POINT (-87.67814396299997 41.80798098100007)
