lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
Albany Park,68156.0,33539.0,34617.0,4086.0,54196.0,7962.0,37980.0,3639.0,289.0,10830.0,14.0,8082.0,7322.0,21824.0,27565.0,25400.0,66492.0,19189.0,16143.0,23335.0,44993.0,23163.0,29690.0,15833.0,25400.0,24080.0,21775.0,4452.0,4955.0,3624.0,25400.0,10467.0,5012.0,1907.0,659.0,37.49285714285714,29.228571428571428,2.6271428571428572,3.294285714285714,6.142857142857143,73220.57142857143,95351.92857142857,37529.642857142855,9.585714285714285,12.507142857142856,2436.4285714285716,920.7857142857143,1233.5,0.4920916720464816,0.5079083279535184
Altgeld,10385.0,4292.0,6093.0,768.0,7185.0,1172.0,2877.0,6144.0,10.0,0.0,0.0,1027.0,327.0,3076.0,4226.0,3873.0,10349.0,4545.0,3412.0,629.0,9289.0,1096.0,7238.0,662.0,3873.0,3473.0,3240.0,260.0,812.0,1687.0,3873.0,1311.0,1116.0,90.0,107.0,33.1,39.199999999999996,2.6633333333333336,3.3666666666666667,16.333333333333332,34824.0,53219.333333333336,20890.0,30.8,33.4,1295.5,602.6666666666666,713.6666666666666,0.41328839672604717,0.5867116032739528
Archer Heights,62966.0,32427.0,30539.0,4514.0,46677.0,8832.0,30468.0,2235.0,1145.0,2900.0,78.0,18618.0,7522.0,50064.0,20617.0,19221.0,62658.0,22492.0,16256.0,5647.0,39561.0,23405.0,12970.0,20670.0,19221.0,15809.0,14798.0,862.0,6913.0,3689.0,19221.0,12454.0,3203.0,2335.0,944.0,35.81111111111111,37.044444444444444,3.196111111111111,4.032222222222222,11.827777777777778,53591.705882352944,70471.77777777778,23127.166666666668,12.616666666666667,13.627777777777778,1635.111111111111,579.2777777777778,984.8823529411765,0.5149922180224248,0.4850077819775752
Austin,41908.0,18891.0,23017.0,2771.0,31214.0,6065.0,2015.0,35806.0,9.0,68.0,0.0,2204.0,1806.0,4149.0,17858.0,15589.0,41271.0,13550.0,10092.0,3124.0,40129.0,1779.0,35935.0,1286.0,15589.0,13020.0,11378.0,634.0,4703.0,6565.0,15589.0,4549.0,6396.0,1019.0,366.0,38.09090909090909,31.87272727272727,2.73,3.5900000000000003,16.027272727272727,33864.4,48652.63636363636,19319.0,27.772727272727273,30.58181818181818,1661.3,657.3636363636364,1045.5454545454545,0.45077312207693043,0.5492268779230696
Austin-Irving,50923.0,24428.0,26495.0,2558.0,40216.0,7339.0,33686.0,892.0,422.0,3749.0,9.0,7784.0,4381.0,20123.0,19167.0,17835.0,50856.0,15359.0,12088.0,11780.0,33911.0,17012.0,21847.0,10912.0,17835.0,16506.0,15245.0,1890.0,4702.0,1651.0,17835.0,11814.0,1280.0,1895.0,690.0,39.54545454545455,32.46363636363637,2.9045454545454543,3.423636363636364,4.463636363636364,82748.54545454546,95874.54545454546,34058.09090909091,5.009090909090909,6.590909090909091,2159.6363636363635,739.2727272727273,1201.3636363636363,0.479704652121831,0.520295347878169
Avalon,24969.0,11094.0,13875.0,838.0,20957.0,5817.0,650.0,23796.0,10.0,8.0,0.0,24.0,481.0,227.0,12514.0,11086.0,24958.0,7214.0,4683.0,6232.0,24316.0,653.0,22800.0,525.0,11086.0,9631.0,9145.0,1501.0,3991.0,2439.0,11086.0,7182.0,2340.0,1023.0,371.0,46.325,21.4,2.25375,3.23625,10.525,58497.5,69755.75,32778.75,8.925,14.575,1551.75,602.375,1049.5,0.4443109455725099,0.5556890544274901
Back of the Yards,15516.0,8124.0,7392.0,936.0,11631.0,1937.0,4759.0,3587.0,58.0,12.0,0.0,5336.0,1764.0,11579.0,6298.0,5232.0,15406.0,5773.0,4316.0,410.0,10378.0,5138.0,4810.0,5248.0,5232.0,4263.0,4021.0,497.0,1347.0,1698.0,5232.0,1462.0,1477.0,231.0,203.0,33.957142857142856,37.971428571428575,2.9271428571428575,3.94,13.328571428571427,33992.0,47320.142857142855,17648.714285714286,26.385714285714283,30.157142857142855,1660.2857142857142,607.5714285714286,858.4285714285714,0.5235885537509667,0.47641144624903325
Beverly,34868.0,15686.0,19182.0,2332.0,27259.0,6635.0,8231.0,24996.0,85.0,230.0,14.0,394.0,918.0,1456.0,13710.0,12414.0,34603.0,11502.0,8216.0,8873.0,33969.0,899.0,30803.0,206.0,12414.0,11622.0,10678.0,1349.0,4324.0,2413.0,12414.0,8800.0,1625.0,1319.0,458.0,43.39090909090909,29.536363636363635,2.811818181818182,3.440909090909091,14.9,79286.36363636363,98744.54545454546,36588.72727272727,9.581818181818182,12.927272727272726,1771.7272727272727,664.5454545454545,1169.4,0.449868073878628,0.5501319261213721
Bezazian,35555.0,17239.0,18316.0,1485.0,30997.0,4930.0,19358.0,7817.0,115.0,4845.0,0.0,1664.0,1756.0,5627.0,21352.0,19466.0,33944.0,5440.0,6257.0,14612.0,25164.0,10391.0,20724.0,5301.0,19466.0,18090.0,16120.0,3300.0,3600.0,3766.0,19466.0,5862.0,8662.0,643.0,366.0,37.6,12.616666666666667,1.7883333333333333,2.785,4.083333333333333,53426.0,70114.5,39796.5,17.75,25.666666666666668,2031.8333333333333,749.2,1066.0,0.48485445085079454,0.5151455491492054
Blackstone,31815.0,14250.0,17565.0,1313.0,27575.0,5197.0,12517.0,12964.0,108.0,3589.0,7.0,640.0,1990.0,1789.0,18788.0,16990.0,31072.0,5496.0,10564.0,16483.0,26465.0,5350.0,24014.0,1979.0,16990.0,16170.0,15123.0,3552.0,3507.0,1523.0,16990.0,6195.0,6232.0,798.0,453.0,34.041666666666664,16.516666666666666,1.9183333333333332,2.875,7.866666666666667,57972.75,100283.0,52424.333333333336,8.6,22.083333333333332,2518.5,1146.3,1271.25,0.4479019330504479,0.5520980669495521
