lib_name,geoid10
Albany Park,"[17031130100, 17031130300, 17031140100, 17031140200, 17031140301, 17031140302, 17031140701, 17031140800, 17031831800]"
Altgeld,"[17031540101, 17031540102]"
Archer Heights,"[17031560100, 17031560200, 17031560300, 17031560400, 17031570200, 17031570300, 17031570400, 17031570500, 17031620100, 17031620200, 17031620300, 17031835200]"
Austin,"[17031251200, 17031251300, 17031251400, 17031251500, 17031251900, 17031252000, 17031252101, 17031252102, 17031252201]"
Austin-Irving,"[17031150402, 17031150501, 17031150502, 17031150600, 17031151200, 17031170100, 17031170200]"
Avalon,"[17031430900, 17031440102, 17031450300, 17031460500, 17031470100, 17031480100, 17031480200, 17031480300, 17031834200, 17031834300]"
Back of the Yards,"[17031580700, 17031580800, 17031610300, 17031610400, 17031611300, 17031611400, 17031611500, 17031611600, 17031611700, 17031630100]"
Beverly,"[17031720100, 17031720200, 17031720300, 17031720400]"
Bezazian,"[17031030702, 17031030703, 17031030706, 17031030800, 17031030900, 17031031000, 17031031100, 17031031200, 17031031300, 17031031700, 17031031800, 17031031900]"
Blackstone,"[17031390100, 17031390200, 17031390300, 17031390400, 17031390500, 17031390600, 17031390700, 17031410100, 17031410200, 17031410500, 17031410600, 17031410700, 17031410800, 17031410900, 17031411000, 17031411100, 17031411200, 17031836300, 17031836400]"
Brainerd,"[17031710900, 17031711000, 17031711100, 17031711200, 17031711300, 17031711400, 17031730201, 17031730300]"
Brighton Park,"[17031570100, 17031580200, 17031580300, 17031580400, 17031580501, 17031580502, 17031580600, 17031842800]"
Bucktown-Wicker Park,"[17031221500, 17031221600, 17031222200, 17031240200, 17031240300, 17031240500, 17031240600, 17031241100, 17031241200, 17031241300, 17031241400, 17031241500, 17031242400, 17031242500, 17031830900, 17031831000, 17031832200, 17031832300, 17031832400]"
Budlong Woods,"[17031020701, 17031020702, 17031020801, 17031020802, 17031040100, 17031040201, 17031040202, 17031040300]"
Canaryville,"[17031610800, 17031835500, 17031842600, 17031843800]"
Chicago Bee,"[17031340500, 17031340600, 17031351400, 17031351500, 17031380500, 17031835900, 17031842000]"
Chicago Lawn,"[17031630900, 17031660301, 17031660302, 17031660400, 17031660500, 17031660600, 17031660800, 17031660900]"
Chinatown,"[17031310200, 17031330100, 17031330200, 17031340300, 17031340400, 17031350400, 17031841000, 17031841100]"
Clearing,"[17031640300, 17031640400, 17031640500, 17031640600]"
Coleman,"[17031400300, 17031400400, 17031400800, 17031420100, 17031420200, 17031420300, 17031420400, 17031420500, 17031420600, 17031420700, 17031420800, 17031421200, 17031690400, 17031834400, 17031836200]"
"Daley, Richard J.","[17031600400, 17031600600, 17031600700, 17031600900, 17031839700, 17031839800, 17031839900, 17031840000, 17031840100, 17031840200]"
"Daley, Richard M.","[17031231100, 17031231200, 17031231500, 17031242600, 17031242700, 17031836600, 17031836700, 17031836800, 17031836900, 17031837100]"
Douglass,"[17031271200, 17031271300, 17031271500, 17031271800, 17031291200, 17031292200, 17031837000, 17031837300, 17031838600, 17031838700, 17031841500, 17031843100, 17031843300]"
Dunning,"[17031170400, 17031170500, 17031170600, 17031170700, 17031170800, 17031170900, 17031760802]"
Edgebrook,"[17031110100, 17031120100, 17031120200, 17031120300]"
Edgewater,"[17031010400, 17031010503, 17031030101, 17031030102, 17031030103, 17031030104, 17031030200, 17031030400, 17031030500, 17031030601, 17031030603, 17031030604, 17031030701]"
Gage Park,"[17031630200, 17031630300, 17031630400, 17031630500, 17031630800, 17031835000, 17031835100]"
Galewood-Mont Clare,"[17031250500, 17031831600]"
Garfield Ridge,"[17031560700, 17031560800, 17031560900, 17031561000, 17031561100]"
Greater Grand Crossing,"[17031430300, 17031430400, 17031690500, 17031690900, 17031691500, 17031841800]"
Hall,"[17031380700, 17031381200, 17031381400, 17031381500, 17031381700, 17031381800, 17031381900, 17031400500, 17031835600, 17031835700, 17031835800, 17031836000, 17031836100, 17031843600]"
Harold Washtington Library Center,"[17031320100, 17031320400, 17031320600, 17031839000, 17031839100, 17031841900]"
Hegewisch,"[17031520500, 17031520600, 17031550100, 17031550200]"
