tract,county,geo_id,census_name,total_no_income,total_with_income,total_with_income_level1,total_with_income_level2,total_with_income_level3,total_with_income_level4,total_with_income_level5,total_with_income_level6,total_with_income_level7,total_with_income_level8,median_income,state_x,total_population,total_male,total_female,under_5_years,median_age,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,perc_hh_w_children,avg_household_size,avg_family_size,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,unemployment_rate,work_from_home,median_hh_income_d,average_hh_income_d,hh_social_security,hh_foodstamps_snap,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,occupied_units,occupied_units_owner,occupied_units_no_vehicle,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,occupied_median_rent_d,state_y
000100,001,1400000US17001000100,"Census Tract 1, Adams County, Illinois",71,15,232,96,131,108,107,262,85,70,56603,17,4652,2105,2547,281,46.4,3821,1258,4242,257,0,64,0,0,89,0,2414,2326,16.9,1.99,2.77,4638,999,877,731,4538,114,4188,0,2326,2101,1960,5.0,195,56603,71837,992,221,35745,4.7,8.4,2326,2021,123,946,488,97,50,901,17
000201,001,1400000US17001000201,"Census Tract 2.01, Adams County, Illinois",39,37,21,64,68,79,67,51,38,43,44453,17,2013,954,1059,142,39.5,1569,352,1831,119,0,6,0,6,51,35,902,845,27.3,2.35,3.29,1988,628,404,376,1971,42,1776,18,845,821,762,2.2,36,44453,61734,264,106,27131,11.1,9.8,845,672,63,979,451,60,27,816,17
000202,001,1400000US17001000202,"Census Tract 2.02, Adams County, Illinois",56,12,47,30,9,17,58,85,57,89,60690,17,2361,1157,1204,103,34.7,1832,255,2138,94,0,2,0,0,127,17,1110,952,30.0,2.44,3.04,2321,634,652,471,2290,71,2165,0,952,882,756,4.3,94,60690,64593,254,119,27899,5.0,11.9,952,664,26,885,371,0,8,976,17
000400,001,1400000US17001000400,"Census Tract 4, Adams County, Illinois",124,58,75,80,84,131,23,242,28,110,42328,17,3063,1540,1523,154,43.4,2428,607,2514,335,0,23,0,2,189,37,1594,1245,25.7,2.24,3.09,2788,673,590,252,3038,25,2848,6,1245,1019,966,2.5,131,42328,47794,327,286,22311,11.6,21.3,1245,665,290,1033,397,87,25,639,17
000500,001,1400000US17001000500,"Census Tract 5, Adams County, Illinois",115,24,23,81,52,67,37,53,11,102,39234,17,1991,931,1060,142,41.0,1583,377,1720,135,3,29,0,26,78,88,929,779,34.0,2.25,2.73,1753,450,383,171,1983,8,1805,0,779,682,619,6.0,58,39234,46834,276,153,19711,22.5,23.0,779,430,63,841,349,18,11,779,17
000600,001,1400000US17001000600,"Census Tract 6, Adams County, Illinois",36,63,106,27,115,58,121,138,155,78,65012,17,4401,2155,2246,280,33.7,3385,651,4111,150,0,21,4,0,115,13,1974,1915,27.7,2.27,2.87,4342,1261,1063,1249,4358,43,4052,0,1915,1726,1708,3.8,105,65012,90862,460,201,39658,6.5,7.4,1915,1128,119,1279,491,53,9,710,17
000700,001,1400000US17001000700,"Census Tract 7, Adams County, Illinois",124,189,102,72,42,44,31,43,5,26,17766,17,1106,527,579,68,47.9,1031,325,985,101,0,4,0,0,16,59,1022,746,5.2,1.30,2.66,967,67,62,91,1087,19,1008,5,746,447,363,8.4,19,17766,26112,379,327,17523,55.1,47.7,746,48,402,-666666666,375,0,0,499,17
000800,001,1400000US17001000800,"Census Tract 8, Adams County, Illinois",124,90,12,123,117,80,60,31,20,181,32077,17,2780,1407,1373,134,39.7,2097,573,2178,401,0,10,0,0,191,107,1265,1035,32.0,2.55,3.00,2635,700,698,92,2767,13,2633,1,1035,867,786,16.0,1,32077,43559,387,420,18663,32.9,32.4,1035,561,160,813,241,52,37,475,17
000900,001,1400000US17001000900,"Census Tract 9, Adams County, Illinois",138,27,196,43,59,88,55,69,51,81,39727,17,2599,1191,1408,152,32.7,2010,379,2268,176,0,0,0,19,136,60,1358,1200,23.1,2.17,2.99,2599,674,573,353,2576,23,2440,0,1200,966,886,15.1,65,39727,57390,359,251,27710,17.7,21.1,1200,601,48,892,405,86,7,607,17
001001,001,1400000US17001001001,"Census Tract 10.01, Adams County, Illinois",64,61,57,46,68,76,156,35,38,104,56563,17,3463,1756,1707,213,37.5,2496,564,3277,100,6,8,0,0,72,160,1443,1367,35.0,2.53,3.01,3463,1083,795,437,3455,8,3141,0,1367,1213,1232,4.7,38,56563,63012,422,291,24971,12.3,14.8,1367,1013,77,1000,378,55,30,832,17
001002,001,1400000US17001001002,"Census Tract 10.02, Adams County, Illinois",40,9,64,39,46,39,46,72,101,164,56378,17,3048,1357,1691,327,38.6,2221,703,2736,63,0,47,0,0,202,65,1260,1187,24.8,2.45,3.27,2908,840,575,529,2993,55,2560,44,1187,1059,1014,0.9,109,56378,71679,391,84,29170,8.6,18.8,1187,888,55,1087,464,118,32,1045,17
001100,001,1400000US17001001100,"Census Tract 11, Adams County, Illinois",154,0,297,103,198,139,83,120,73,328,67120,17,8036,3936,4100,485,43.7,6475,1746,7014,551,13,121,0,52,285,89,3432,3325,26.4,2.40,3.01,7985,2349,1981,2064,7773,263,7363,36,3325,2860,2825,3.9,222,67120,93121,1266,398,38865,2.7,5.0,3325,2124,357,1463,663,101,80,752,17
010100,001,1400000US17001010100,"Census Tract 101, Adams County, Illinois",56,33,45,92,75,49,72,68,61,220,67385,17,4546,2239,2307,233,41.4,3423,828,4381,28,0,9,0,24,104,142,2017,1765,30.6,2.54,3.03,4489,1407,1122,670,4525,21,4256,6,1765,1570,1501,3.4,166,67385,79316,552,137,31207,7.0,8.7,1765,1451,67,1130,404,52,32,809,17
010200,001,1400000US17001010200,"Census Tract 102, Adams County, Illinois",105,100,97,47,89,48,85,59,74,132,55924,17,3710,1868,1842,192,41.6,2800,823,3661,0,1,4,0,15,29,7,1693,1536,29.7,2.35,2.97,3608,1095,899,428,3696,14,3475,9,1536,1277,1223,2.2,111,55924,64239,515,192,27442,5.2,9.3,1536,1192,70,1110,431,135,44,555,17
010301,001,1400000US17001010301,"Census Tract 103.01, Adams County, Illinois",8,2,10,67,50,21,50,12,56,40,83400,17,2797,1539,1258,218,39.5,1956,429,2768,0,27,0,0,0,2,0,1124,988,43.0,2.83,3.10,2797,895,681,449,2794,3,2535,15,988,876,828,0.9,189,83400,83855,381,36,29956,6.0,9.7,988,833,35,1693,539,69,2,765,17
010302,001,1400000US17001010302,"Census Tract 103.02, Adams County, Illinois",28,23,29,84,29,27,91,54,31,92,63833,17,3109,1578,1531,213,35.9,2212,510,2896,0,0,26,0,0,187,151,1201,1100,31.4,2.83,3.34,3109,1019,761,369,3092,17,2866,16,1100,1033,927,3.3,131,63833,68995,359,94,24896,4.4,8.7,1100,949,3,997,513,52,17,632,17
010400,001,1400000US17001010400,"Census Tract 104, Adams County, Illinois",64,8,21,19,65,76,36,59,45,117,77261,17,3520,1748,1772,137,44.9,2604,763,3490,0,1,6,4,9,10,25,1444,1297,31.8,2.71,3.10,3520,1133,870,814,3502,18,3351,0,1297,1139,1111,0.5,58,77261,97090,465,25,37006,3.4,4.0,1297,1253,0,1292,556,56,16,631,17
010500,001,1400000US17001010500,"Census Tract 105, Adams County, Illinois",11,33,37,44,36,61,0,52,11,66,94125,17,2934,1504,1430,203,49.4,2268,851,2853,55,0,9,0,0,17,17,1290,1181,25.2,2.48,2.98,2934,740,569,779,2914,20,2682,7,1181,1041,1022,1.7,58,94125,100338,430,34,41373,2.8,6.8,1181,934,25,1382,562,51,20,889,17
010600,001,1400000US17001010600,"Census Tract 106, Adams County, Illinois",18,139,71,15,34,56,54,26,186,302,78154,17,5749,2922,2827,290,50.1,4671,1159,5626,50,0,31,0,0,42,74,2753,2385,22.7,2.40,2.76,5730,1377,1089,1485,5651,98,5347,9,2385,2191,1956,3.5,150,78154,111291,884,188,46635,11.7,10.5,2385,2140,25,1673,508,54,16,-666666666,17
957600,003,1400000US17003957600,"Census Tract 9576, Alexander County, Illinois",54,66,33,9,23,25,38,50,70,44,45500,17,1864,1057,807,43,50.1,1559,422,1499,299,0,1,0,0,65,0,888,616,15.9,2.93,3.71,1804,556,305,149,1856,8,1813,8,616,416,377,2.1,74,45500,58488,243,94,22974,14.1,24.8,616,468,21,976,404,35,45,816,17
957700,003,1400000US17003957700,"Census Tract 9577, Alexander County, Illinois",26,33,48,59,16,28,5,4,15,56,53125,17,1656,651,1005,148,41.1,1121,338,1390,254,4,0,0,0,8,0,761,484,25.6,3.42,4.36,1656,593,439,95,1656,0,1508,0,484,356,246,16.2,25,53125,54877,286,92,17803,15.0,18.1,484,390,19,967,402,26,9,700,17
957800,003,1400000US17003957800,"Census Tract 9578, Alexander County, Illinois",44,33,0,44,32,24,23,35,29,59,37750,17,1252,623,629,42,42.1,930,255,453,765,0,0,22,0,12,56,705,373,18.8,3.36,5.06,1252,682,375,182,1248,4,1188,0,373,285,230,9.3,0,37750,40250,221,89,16065,22.6,37.8,373,331,3,1000,407,52,34,827,17
957900,003,1400000US17003957900,"Census Tract 9579, Alexander County, Illinois",51,20,31,49,43,35,0,22,7,24,25577,17,716,321,395,6,53.7,632,218,160,518,0,0,0,0,38,6,705,308,9.4,2.05,5.77,632,240,142,42,700,16,707,0,308,228,178,25.1,0,25577,51100,179,38,26295,3.0,14.7,308,157,124,1347,374,38,19,425,17
951200,005,1400000US17005951200,"Census Tract 9512, Bond County, Illinois",87,27,57,68,24,44,73,42,85,71,65804,17,3114,1499,1615,147,51.9,2576,831,2966,69,15,0,0,0,64,150,1546,1294,21.4,2.41,2.95,3114,762,523,439,3090,24,2963,0,1294,1037,973,2.2,125,65804,74468,597,83,32105,7.5,11.7,1294,1072,200,1319,534,78,77,715,17
951300,005,1400000US17005951300,"Census Tract 9513, Bond County, Illinois",297,73,115,117,49,203,68,45,107,313,46553,17,6529,3985,2544,142,37.6,5629,907,5095,1115,50,155,0,21,93,421,2294,2052,36.2,2.22,2.79,4550,1241,1986,1082,6253,276,6015,128,2052,1916,1658,1.5,165,46553,54082,617,421,19593,16.8,21.2,2052,1233,202,903,511,36,28,601,17
951400,005,1400000US17005951400,"Census Tract 9514, Bond County, Illinois",63,43,63,66,6,49,76,69,94,68,51111,17,2985,1341,1644,198,41.3,2250,579,2908,0,41,10,0,7,19,35,1173,1066,27.4,2.80,3.78,2985,893,657,458,2973,12,2755,11,1066,957,865,5.3,58,51111,69605,447,122,27305,8.1,14.3,1066,910,48,1432,428,66,49,638,17
951500,005,1400000US17005951500,"Census Tract 9515, Bond County, Illinois",56,118,58,52,54,90,58,160,63,107,63625,17,4176,2052,2124,194,46.6,3213,827,4151,0,6,0,0,8,11,24,1889,1682,31.8,2.48,3.01,4176,1168,1025,555,4161,15,3914,14,1682,1484,1341,6.6,117,63625,93110,558,197,35904,6.7,11.4,1682,1394,71,1387,470,87,70,753,17
010101,007,1400000US17007010101,"Census Tract 101.01, Boone County, Illinois",67,19,18,18,127,98,34,70,32,82,68295,17,4226,1947,2279,147,37.1,3173,361,2954,104,0,36,0,1037,95,1584,1515,1418,46.3,2.98,3.39,4226,1564,1362,481,3685,541,2793,480,1418,1351,1267,7.8,50,68295,75122,347,163,28587,11.7,14.5,1418,1027,0,1209,527,186,0,1007,17
010102,007,1400000US17007010102,"Census Tract 101.02, Boone County, Illinois",180,100,86,95,49,19,80,22,59,135,47791,17,3949,2157,1792,359,30.4,2703,462,2691,69,12,0,0,1013,164,1847,1503,1304,30.3,2.95,4.23,3843,1180,1048,175,3378,571,2311,240,1304,1073,1073,8.2,50,47791,54325,274,346,19177,11.6,17.0,1304,730,216,1209,657,70,0,663,17
010200,007,1400000US17007010200,"Census Tract 102, Boone County, Illinois",78,218,82,128,142,93,370,99,30,188,38125,17,5795,2837,2958,545,36.4,4254,892,4377,61,63,1,0,627,666,2358,2347,2171,36.8,2.62,3.05,5690,2076,1256,674,4945,850,3725,408,2171,2029,1897,7.4,114,38125,55065,616,593,20562,10.3,15.8,2171,1547,163,1301,522,409,39,776,17
010300,007,1400000US17007010300,"Census Tract 103, Boone County, Illinois",90,125,26,213,186,167,62,89,112,236,64450,17,6832,2856,3976,206,41.8,5398,1535,5556,126,0,92,0,832,226,2548,2713,2713,29.0,2.50,3.48,6789,1809,1466,352,5730,1102,4435,1063,2713,2581,2145,5.1,121,64450,64322,1073,495,26616,10.2,16.2,2713,1990,242,1108,535,352,32,1053,17
010400,007,1400000US17007010400,"Census Tract 104, Boone County, Illinois",133,0,16,171,137,153,26,45,143,224,75135,17,7141,3706,3435,335,44.8,5729,1275,6333,133,0,119,0,374,182,1006,2687,2588,27.3,2.76,3.15,7141,2165,1541,1066,6626,515,5852,357,2588,2350,2262,9.9,260,75135,91850,1138,157,35428,4.7,9.2,2588,2415,0,1537,696,316,153,1231,17
